"id","Province","VillageEN","Feddans","Ibra","Founder","FoundationYear","Category","use","type"
"P075A","al-Ushmūnayn","al-Wāqiya","200","1000","Amir Shaykhu","1349.7","place","2","Amir"
"P075B","al-Ushmūnayn","Qawārīr Banī Aḥmad","210","600","Amir Shaykhu","1349.75","place","2","Amir"
"P076","ash-Sharqīya","Ṭabanū","407","700","Amir Shaykhu & Manjak al-Yusufi","1349.8","place","1","Amir"
"P077","Ḍawāḥī al-Qāhira","Bigām","340","2500","Baybugha Rus","1350","place","2","Amir"
"P078","Ḍawāḥī al-Qāhira","Arāḍi al-Baʿl","305","3000","Sultan as-Ṣāliḥ b. Qalāwūn","1351","place","2","Qalawunid"
"P079","al-Gharbīya","Manyal Ibn Hiwishāt","226","1000","Amir Manklibugha al-Fakhri","1353","place","2","Amir"
"P080","ad-Daqahliyā & al-Murtāḥīya","Minyat Bizwā","816","3500","Amir Uzdamur al-Khazindar","1355","place","2","Amir"
"P081","Ḍawāḥī al-Qāhira","Minyat Ḥalfā","1167","3500","Amir Sarghatmish an-Nasiri","1355.5","place","2","Amir"
"P082","Ḍawāḥī al-Qāhira","Minyat Ṣurud","410","4500","Sultan al-Nasir Hasan","1359.25","place","2","Qalawunid Sultan"
"P083","al-Qalyūbīya","Qahā","2743","8000","Sultan al-Nasir Hasan","1359.5","place","2","Qalawunid Sultan"
"P084","al-Gharbīya","Maḥallat al-Khādim","1000","3000","Sultan al-Nasir Hasan","1359.75","place","2","Qalawunid Sultan"
"P085","ad-Daqahliyā & al-Murtāḥīya","Bārinbāra","1704","1000","Yalbugha al-ʿUmari","1360","place","2","Amir"
"P086","al-Ushmūnayn","Abū Qurqās","1716","5000","Amir Taybugha al-Tawil","1366","place","2","Amir"
"P087","al-Qalyūbīya","Kōm as-Samn","628","1884","Amir Uljay al-Yusufi","1368.25","place","2","Amir"
"P088","al-Gharbīya","Safṭ Abī Turāb","4908","20000","Khawand Baraka","1370","place","2","Qalawunid Family"
"P089","ash-Sharqīya","Ṭaqadūs","1520","6000","Khawand Baraka","1370","place","2","Qalawunid Family"
"P090","al-Buḥayra","Sunṭays","2138","3500","Sultan al-Ashraf Shaʿban","1373.2","place","1","Qalawunid Sultan"
"P091","Fūwa","Itfīna","734","2200","Sultan al-Ashraf Shaʿban","1373.4","place","2","Qalawunid Sultan"
"P092","Fūwa","Gazīrat adh-Dhahab","400","1200","Amir ʿUmar b. Bahadur al-Jamali","1373.6","place","2","Amir"
"P093","al-Gīza","ʿAṭf Iṭwāb","1200","5000","Sultan al-Ashraf Shaʿban","1373.8","place","1","Qalawunid Sultan"
"P094","al-Ushmūnayn","ar-Rawwāḥa","323","2000","Sultan al-Ashraf Shaʿban","1374","place","2","Qalawunid Sultan"
"P095","al-Bahnasā","Idrīga","2000","6000","Amir Arghun Shah al-Ashrafi","1375","place","2","Amir"
